,Rank,Company name,Industry,State,City,Metro area,Growth pct,Revenue,Number of worker,Year on the list
,4345,MedRisk,Insurance,Pennsylvania,King of Prussia,Philadelphia,63.2623,225130240,396,8
,3893,Liquid Web,IT Services,Michigan,Lansing,Lansing-East Lansing MI,78.9542,57110703,400,8
,3759,CapTech Ventures,IT Services,Virginia,Richmond,Richmond VA,83.6777,78671000,411,9
,2253,WorkForce Software,Software,Michigan,Livonia,Detroit,173.5378,50366838,425,8
,2353,Bluewolf,IT Services,New York,New York,New York City,165.1045,114164000,425,8
,2168,Cenergy International Services,Energy,Texas,Houston,Baton Rouge LA,183.0364,280772798,436,9
,1835,Infusionsoft,Software,Arizona,Chandler,,223.7962,56753547,442,8
,2207,Digital Insurance,Insurance,Georgia,Atlanta,Atlanta,178.6205,69318000,449,8
,3293,MobilityWorks,Logistics & Transportation,Ohio,Akron,Akron OH,103.0437,158753917,456,9
,3987,Heartland Business Systems,IT Services,Wisconsin,Little Chute,Appleton WI,75.2839,172702015,460,8
,3764,Isagenix International,Health,Arizona,Chandler,,83.4224,448143000,475,8
,2697,Big Ass Fans,Manufacturing,Kentucky,Lexington,Lexington-Fayette KY,139.0839,119262999,481,8
,3091,Bodybuilding.com,Retail,Idaho,Boise,Boise City-Nampa ID,114.8276,420482000,488,9
,4831,Batteries Plus Bulbs,Retail,Wisconsin,Hartland,Milwaukee-Waukesha-West Allis WI,47.7971,202145000,505,8
,4994,A-T Solutions,Government Services,Virginia,Vienna,Washington DC,42.5531,183339411,529,8
,2938,Accuvant,Security,Colorado,Denver,Denver,122.9269,350152337,568,8
,2636,Phacil,Government Services,Virginia,Arlington,Washington DC,142.5801,84125005,600,8
,3454,WeLocalize,Business Products & Services,Maryland,Frederick,Washington DC,96.2188,118337051,600,10
,3015,Stone Brewing,Food & Beverage,California,Escondido,San Diego,118.401,136330955,628,10
,3508,Teoco,Telecommunications,Virginia,Fairfax,Washington DC,93.9248,122538000,644,8
,4777,Neudesic,IT Services,California,Irvine,Los Angeles,49.4226,80389351,650,8
,1846,Delaware Resource Group/Busey Group,Government Services,Oklahoma,Oklahoma City,Oklahoma City OK,222.2353,77712337,661,9
,2041,Account Control Technology,Financial Services,California,Woodland Hills,Los Angeles,198.1208,78786048,704,8
,2455,TMOne,Business Products & Services,Iowa,Iowa City,Iowa City IA,155.9462,20339310,726,8
,2401,Paycom,Human Resources,Oklahoma,Oklahoma City,Oklahoma City OK,160.5288,107601000,831,9
,2785,Paylocity,Human Resources,Illinois,Arlington Heights,Chicago,133.0609,77294000,838,10
,4222,Granite Telecommunications,Telecommunications,Massachusetts,Quincy,Boston,67.4515,865828000,1041,8
,4623,Carousel Industries,Telecommunications,Rhode Island,Exeter,Providence-New Bedford-Fall River RI-MA,54.2115,350051061,1064,9
,4032,Eliassen Group,IT Services,Massachusetts,Wakefield,Boston,73.8274,170651944,1088,9
,2648,TalentBurst,IT Services,Massachusetts,Framingham,Boston,141.6187,51798499,1125,8
,4282,CyraCom,Business Products & Services,Arizona,Tucson,Tucson AZ,65.3712,61828000,1130,8
,1206,Digital Management,IT Services,Maryland,Bethesda,Washington DC,361.4144,263912441,1500,8
,4349,Hyland Software,Software,Ohio,Westlake,Cleveland,63.2214,274811000,1613,8
,3821,TriNet,Human Resources,California,San Leandro,San Francisco,81.4493,1644275000,1783,12
,4730,Icon Information Consultants,IT Services,Texas,Houston,Houston,50.9076,189536095,1956,8
,4267,Defender Direct,Security,Indiana,Indianapolis,Indianapolis IN,65.7193,424548000,2061,8
,2920,Addison Search,Human Resources,Illinois,Chicago,Chicago,124.4481,166322933,2091,8
,3131,Total Quality Logistics,Logistics & Transportation,Ohio,Cincinnati,Cincinnati,112.7047,1621033577,2363,10
,4735,First Hospitality Group,Travel & Hospitality,Illinois,Rosemont,Chicago,50.7826,268239275,2495,8
,2587,LEGACY Supply Chain Services,Logistics & Transportation,New Hampshire,Portsmouth,Boston,145.2085,343314075,2700,8
,4064,eClinicalWorks,Health,Massachusetts,Westborough,Worcester MA,72.8345,269745626,3100,8
,4045,Pyramid Consulting,IT Services,Georgia,Alpharetta,Atlanta,73.3468,160595551,3422,8
,3894,Program Productions,Media,Illinois,Lombard,Chicago,78.941,27813130,4400,8
,4676,GoDaddy.com,IT Services,Arizona,Scottsdale,Phoenix,52.5625,1130845000,4440,11
,2096,Goodman Networks,Telecommunications,Texas,Plano,Dallas,190.8177,931745000,5000,8
,3903,Pacific Dental Services,Health,California,Irvine,Los Angeles,78.5448,627767000,5010,9
,4459,RuffaloCODY,Business Products & Services,Iowa,Cedar Rapids,Iowa City IA,59.1775,91975402,5265,9
,4950,ABC Supply,Construction,Wisconsin,Beloit,Janesville WI,44.0068,4911166514,7355,10
,4152,Sutherland Global Services,Business Products & Services,New York,Pittsford,Rochester NY,69.6839,771259000,30000,8
